# M=22, N=11, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:48:41
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -1.290000000000E+00      1.500723551022E-01      7.891804404348E-02      6.042126903983E-02      5.261309045276E-02      4.819043686267E-02      4.520166815981E-02      4.295196014884E-02      4.113858980358E-02      3.960922877707E-02      3.827873225455E-02      2.833471629069E-01
     -1.280000000000E+00      1.480282870678E-01      7.747977444614E-02      5.929683737333E-02      5.165332126160E-02      4.733373031087E-02      4.441907266106E-02      4.222762749885E-02      4.046264025986E-02      3.897485471608E-02      3.768088093784E-02      2.812573957630E-01
     -1.270000000000E+00      1.459970205921E-01      7.605887372460E-02      5.818687826050E-02      5.070526025063E-02      4.648663792964E-02      4.364447016689E-02      4.150998015041E-02      3.979229055181E-02      3.834516431476E-02      3.708693291426E-02      2.791673150245E-01
     -1.260000000000E+00      1.439785329228E-01      7.465520371255E-02      5.709124869727E-02      4.976880376174E-02      4.564909600239E-02      4.287782892556E-02      4.079901052184E-02      3.912755088114E-02      3.772018042723E-02      3.649691956156E-02      2.770768513906E-01
     -1.250000000000E+00      1.419728039085E-01      7.326862802120E-02      5.600980800142E-02      4.884385013470E-02      4.482104222987E-02      4.211911817036E-02      4.009471181257E-02      3.846843222332E-02      3.709992681882E-02      3.591087340273E-02      2.749859383719E-01
     -1.240000000000E+00      1.399798158439E-01      7.189901194933E-02      5.494241771718E-02      4.793029959738E-02      4.400241561412E-02      4.136830799749E-02      3.939707787120E-02      3.781494618293E-02      3.648442800778E-02      3.532882793552E-02      2.728945121428E-01
     -1.230000000000E+00      1.379995533276E-01      7.054622240190E-02      5.388894152749E-02      4.702805416447E-02      4.319315635188E-02      4.062536925416E-02      3.870610307424E-02      3.716710485971E-02      3.587370911770E-02      3.475081747213E-02      2.708025114029E-01
     -1.220000000000E+00      1.360320031300E-01      6.921012781625E-02      5.284924517308E-02      4.613701754411E-02      4.239320573691E-02      3.989027343620E-02      3.802178221479E-02      3.652492072490E-02      3.526779574007E-02      3.417687698883E-02      2.687098772472E-01
     -1.210000000000E+00      1.340771540721E-01      6.789059809530E-02      5.182319637783E-02      4.525709505165E-02      4.160250607030E-02      3.916299259435E-02      3.734411040041E-02      3.588840650696E-02      3.466671380636E-02      3.360704198476E-02      2.666165530441E-01
     -1.200000000000E+00      1.321349969133E-01      6.658750454691E-02      5.081066477979E-02      4.438819353001E-02      4.082100057832E-02      3.844349924870E-02      3.667308295961E-02      3.525757508633E-02      3.407048946918E-02      3.304134834964E-02      2.645224843206E-01
     -1.190000000000E+00      1.302055242477E-01      6.530071982902E-02      4.981152186741E-02      4.353022127611E-02      4.004863333715E-02      3.773176631068E-02      3.600869535635E-02      3.463243939850E-02      3.347914899188E-02      3.247983223985E-02      2.624276186544E-01
     -1.180000000000E+00      1.282887304088E-01      6.403011789980E-02      4.882564092038E-02      4.268308797280E-02      3.928534920389E-02      3.702776701188E-02      3.535094311195E-02      3.401301234485E-02      3.289271864627E-02      3.192252996260E-02      2.603319055724E-01
     -1.170000000000E+00      1.263846113812E-01      6.277557397247E-02      4.785289695482E-02      4.184670462594E-02      3.853109375352E-02      3.633147483944E-02      3.469982173397E-02      3.339930671096E-02      3.231122461790E-02      3.136947786766E-02      2.582352964547E-01
     -1.160000000000E+00      1.244931647195E-01      6.153696447434E-02      4.689316667230E-02      4.102098350616E-02      3.778581322115E-02      3.564286347724E-02      3.405532665149E-02      3.279133509168E-02      3.173469291851E-02      3.082071224635E-02      2.561377444444E-01
     -1.150000000000E+00      1.226143894733E-01      6.031416700959E-02      4.594632841245E-02      4.020583809491E-02      3.704945444939E-02      3.496190675277E-02      3.341745315645E-02      3.218910982276E-02      3.116314930524E-02      3.027626923753E-02      2.540392043625E-01
